,high_standard_deviation,low_standard_deviation,negative_skewness,normal_standard_deviation,positive_skewness,x,zero_snewness
622,0.08264617468740539,4.76202568712962e-06,0.001334475920761385,0.09405259868705736,0.18677072145335333,2.4524524524524516,0.09405259868705736
623,0.08239192056270862,3.909771572953893e-06,0.0012465585765196632,0.09290054843732247,0.1845545382981253,2.4724724724724716,0.09290054843732247
624,0.08213639108127345,3.2049021358065327e-06,0.0011638921870510744,0.09175341547029468,0.1823429387535383,2.4924924924924916,0.09175341547029468
625,0.08187960298053173,2.622900992460595e-06,0.0010862024451831866,0.09061136752290289,0.1801365326006226,2.5125125125125116,0.09061136752290289
626,0.08162157304023421,2.143150941427589e-06,0.001013226667396566,0.08947456873363976,0.17793591079988297,2.5325325325325316,0.08947456873363976
627,0.08136231808063944,1.7483458952483998e-06,0.000944713479353585,0.08834317962197805,0.1757416457646025,2.5525525525525516,0.08834317962197805
628,0.08110185496070356,1.4239859167444494e-06,0.0008804224981288789,0.08721735706984564,0.17355429164156239,2.5725725725725717,0.08721735706984564
629,0.08084020057627067,1.157944560730125e-06,0.000820124012140043,0.08609725430514478,0.17137438459814952,2.5925925925925917,0.08609725430514478
630,0.08057737185826462,9.400989701700733e-07,0.0007635986597214947,0.08498302088729917,0.16920244311487684,2.6126126126126117,0.08498302088729917
631,0.08031338577088211,7.620143042539309e-07,0.0007106371072290213,0.08387480269481211,0.1670389682823952,2.6326326326326317,0.08387480269481211
632,0.08004825930978743,6.16675092639957e-07,0.0006610397275075565,0.08277274191481705,0.16488444410212655,2.6526526526526517,0.08277274191481705
633,0.07978200950030928,4.982570227368631e-07,0.0006146162795004183,0.08167697703460093,0.16273933778970143,2.6726726726726717,0.08167697703460093
634,0.07951465339563976,4.019334829945445e-07,0.0005711855897247349,0.08058764283507999,0.16060410008043524,2.6926926926926917,0.08058764283507999
635,0.07924620807503578,3.2371191236078853e-07,0.0005305752362852208,0.07950487038620595,0.15847916553612668,2.7127127127127117,0.07950487038620595
636,0.07897669064202331,2.602956517777516e-07,0.000492621236047044,0.07842878704427983,0.15636495285251262,2.7327327327327318,0.07842878704427983
637,0.07870611822260459,2.0896756504015442e-07,0.00045716773553832694,0.07735951645114979,0.15426186516676124,2.7527527527527518,0.07735951645114979
638,0.07843450796346858,1.6749220040617113e-07,0.0004240667061039638,0.0762971785352678,0.1521702903644316,2.772772772772772,0.0762971785352678
639,0.07816187703020504,1.3403370757044918e-07,0.00039317764378505845,0.0752418895145797,0.15009060138537436,2.792792792792792,0.0752418895145797
640,0.07788824260552217,1.0708711311108911e-07,0.00036436727435241805,0.07419376190122169,0.14802315652809095,2.812812812812812,0.07419376190122169
641,0.07761362188746854,8.542089702891379e-08,0.0003375092638783161,0.07315290450799553,0.14596829975211273,2.8328328328328336,0.07315290450799553
642,0.07733803208765924,6.802910880490386e-08,0.00031248393518818157,0.07211942245659493,0.14392636097800168,2.8528528528528536,0.07211942245659493
643,0.07706149042950632,5.40915183839011e-08,0.00028917799049300706,0.0710934171875518,0.1418976563846106,2.8728728728728736,0.0710934171875518
644,0.07678401414645433,4.294052010748545e-08,0.00026748424046430213,0.07007498647187473,0.13988248870328515,2.8928928928928936,0.07007498647187473
645,0.0765056204802208,3.403369992091905e-08,0.0002473013399760761,0.06906422442434702,0.13788114750871797,2.9129129129129137,0.06906422442434702
646,0.07622632667904192,2.6931141837705907e-08,0.00022853353070296655,0.06806122151845385,0.13589390950620475,2.9329329329329337,0.06806122151845385
647,0.07594614999592374,2.1276691964525354e-08,0.0002110903907300195,0.06706606460290532,0.1339210388150806,2.9529529529529537,0.06706606460290532
648,0.07566510768689935,1.678252033059113e-08,0.0001948865912978778,0.06607883691972351,0.13196278724814914,2.9729729729729737,0.06607883691972351
649,0.07538321700929175,1.321642497144575e-08,0.0001798416607772004,0.06509961812385934,0.13001939458694148,2.9929929929929937,0.06509961812385934
650,0.07510049521998317,1.0391411536011324e-08,0.00016587975593803555,0.06412848430430544,0.12809108885267284,3.0130130130130137,0.06412848430430544
651,0.07481695957369087,8.157157195421486e-09,0.00015292944055355596,0.06316550800667046,0.12617808657278737,3.0330330330330337,0.06316550800667046
652,0.07453262732124957,6.39303166463267e-09,0.00014092347135302014,0.062210758257179394,0.12428059304300577,3.0530530530530537,0.062210758257179394
653,0.07424751570790085,5.002402311795466e-09,0.00012979859131601672,0.06126430058806472,0.12239880258481343,3.0730730730730738,0.06126430058806472
654,0.07396164197158976,3.907996033541237e-09,0.000119495330278945,0.060326197064312165,0.12053289879834539,3.0930930930930938,0.060326197064312165
655,0.07367502334126887,3.048129044089906e-09,0.00010995781280522809,0.05939650631172437,0.1186830548106435,3.113113113113114,0.05939650631172437
656,0.07338767703520978,2.373648028938255e-09,0.00010113357325291597,0.05847528354626626,0.11684943351927961,3.133133133133134,0.05847528354626626
657,0.07309962025932278,1.8454531734942433e-09,9.297337795705341e-05,0.057562580604654454,0.11503218783135186,3.153153153153154,0.057562580604654454
658,0.0728108702054843,1.4324961907055195e-09,8.543105442940802e-05,0.056658445976153556,0.1132314608978777,3.173173173173174,0.056658445976153556
659,0.07252144404987278,1.110165325572828e-09,7.846332746483046e-05,0.055762924835541613,0.1114473863436184,3.193193193193194,0.055762924835541613
660,0.07223135895131313,8.589849969775474e-10,7.20296620315823e-05,0.05487605907720679,0.10968008849238199,3.213213213213214,0.05487605907720679
661,0.0719406320496298,6.635707518108902e-10,6.609211281236628e-05,0.053997887350337184,0.10792968258786201,3.233233233233234,0.053997887350337184
662,0.07164928046400879,5.117909821390712e-10,6.061518025346416e-05,0.05312844509516549,0.10619627501007751,3.253253253253254,0.05312844509516549
663,0.07135732129136894,3.940957579432772e-10,5.556567297126699e-05,0.05226776458023021,0.10447996348748916,3.273273273273274,0.05226776458023021
664,0.07106477160474244,3.02980465151149e-10,5.091257635851055e-05,0.05141587494061478,0.10278083730487104,3.293293293293294,0.05141587494061478
665,0.07077164845166498,2.3255797270766432e-10,4.662692722664272e-05,0.050572802217126143,0.10109897750702565,3.313313313313314,0.050572802217126143
666,0.07047796885257564,1.782180037470424e-10,4.268169431588466e-05,0.049738569396374326,0.09943445709843277,3.333333333333334,0.049738569396374326
667,0.07018374979922676,1.3635643983983813e-10,3.905166450064647e-05,0.04891319645171409,0.09778734123892753,3.353353353353354,0.04891319645171409
668,0.06988900825310394,1.0416059917739958e-10,3.5713334514954394e-05,0.048096700385010537,0.09615768743550612,3.373373373373374,0.048096700385010537
669,0.06959376114385651,7.943922934795982e-11,3.2644808020385e-05,0.04728909526918982,0.09454554573035925,3.393393393393394,0.04728909526918982
670,0.06929802536773835,6.048815141899081e-11,2.9825697837619497e-05,0.04649039229153679,0.09295095888523597,3.413413413413414,0.04649039229153679
671,0.06900181778605967,4.5984274513813e-11,2.7237033162072874e-05,0.045700599797701226,0.09137396256224037,3.433433433433434,0.045700599797701226
672,0.06870515522364956,3.490214375423369e-11,2.486117158406112e-05,0.04491972333637443,0.08981458550116479,3.453453453453454,0.04491972333637443
673,0.06840805446732968,2.644835124122457e-11,2.2681715734590294e-05,0.04414776570459848,0.08827284969346237,3.473473473473474,0.04414776570459848
674,0.06811053226439942,2.0010080771036774e-11,2.0683434379032115e-05,0.04338472699367012,0.0867487705529612,3.493493493493494,0.04338472699367012
675,0.06781260532113216,1.5114814324977427e-11,1.885218778263966e-05,0.042630604635601865,0.0852423570834211,3.513513513513514,0.042630604635601865
676,0.06751429030128359,1.139883660582146e-11,1.7174857174007398e-05,0.04188539345010323,0.08375361204303246,3.533533533533534,0.04188539345010323
677,0.06721560382461154,8.582661360995763e-12,1.563927813514132e-05,0.04114908569204474,0.08228253210595435,3.553553553553554,0.04114908569204474
678,0.06691656246540803,6.451893101143267e-12,1.4234177749737805e-05,0.040421671099368374,0.08082910802098701,3.573573573573574,0.040421671099368374
679,0.06661718275104324,4.842348989723176e-12,1.2949115344526993e-05,0.03970313694140794,0.07939332476747135,3.593593593593594,0.03970313694140794
680,0.06631748116052205,3.6285135218499067e-12,1.1774426662080106e-05,0.03899346806758343,0.07797516170850478,3.613613613613614,0.03899346806758343
681,0.06601747412305285,2.714595611730374e-12,1.0701171307271877e-05,0.038292646956433606,0.07657459274155995,3.633633633633634,0.038292646956433606
682,0.0657171780166292,2.0276139782300655e-12,9.721083313592128e-06,0.03760065376495189,0.07519158644659019,3.653653653653654,0.03760065376495189
683,0.06541660916662408,1.512060427138974e-12,8.826524679681671e-06,0.03691746637819032,0.07382610623170097,3.673673673673674,0.03691746637819032
684,0.06511578384439724,1.1257883633082601e-12,8.01044173079539e-06,0.03624306045909763,0.07247811047646446,3.693693693693694,0.03624306045909763
685,0.06481471826591557,8.368509242642625e-13,7.266324164339321e-06,0.035577409498557235,0.07114755267295013,3.713713713713714,0.035577409498557235
686,0.06451342859038683,6.210737614755693e-13,6.588166643162377e-06,0.03492048486559183,0.0698343815645405,3.733733733733734,0.03492048486559183
